Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,A, 25,H,    3, 0.82, 0.82,   230.80,
208,1264,A, 25,H,CC(3), 0.29, 0.29,   231.62,
208,1264,A, 26,H,    1, 1.50, 1.50,   237.30,
208,1264,A, 26,H,    2, 1.50, 1.50,   238.80,
208,1264,A, 26,H,    3, 1.50, 1.50,   240.30,
208,1264,A, 26,H,    4, 1.50, 1.50,   241.80,
208,1264,A, 26,H,    5, 1.50, 1.50,   243.30,
208,1264,A, 26,H,    6, 1.27, 1.27,   244.80,
208,1264,A, 26,H,CC(6), 0.19, 0.19,   246.07,
208,1264,A, 27,H,    1, 1.50, 1.50,   246.80,
208,1264,A, 27,H,    2, 1.01, 1.01,   248.30,
208,1264,A, 27,H,CC(2), 0.35, 0.35,   249.31,
208,1264,A, 28,H,    1, 1.50, 1.50,   256.30,
208,1264,A, 28,H,    2, 1.50, 1.50,   257.80,
208,1264,A, 28,H,    3, 1.50, 1.50,   259.30,"0/0"
208,1264,A, 28,H,    4, 0.69, 0.69,   260.80,
208,1264,A, 28,H,CC(4), 0.28, 0.28,   261.49,"0/0"
208,1264,A, 29,H,    1, 1.50, 1.50,   261.70,
208,1264,A, 29,H,    2, 1.50, 1.50,   263.20,
208,1264,A, 29,H,    3, 1.50, 1.50,   264.70,
208,1264,A, 29,H,    4, 1.50, 1.50,   266.20,
208,1264,A, 29,H,    5, 1.50, 1.50,   267.70,
208,1264,A, 29,H,    6, 1.50, 1.50,   269.20,
208,1264,A, 29,H,    7, 0.69, 0.69,   270.70,
208,1264,A, 29,H,CC(7), 0.13, 0.13,   271.39,
208,1264,A, 30,H,    1, 1.50, 1.50,   271.20,
208,1264,A, 30,H,    2, 1.50, 1.50,   272.70,
208,1264,A, 30,H,    3, 1.50, 1.50,   274.20,
208,1264,A, 30,H,    4, 1.50, 1.50,   275.70,
208,1264,A, 30,H,    5, 1.50, 1.50,   277.20,
208,1264,A, 30,H,    6, 1.50, 1.50,   278.70,
208,1264,A, 30,H,    7, 0.55, 0.55,   280.20,
208,1264,A, 30,H,CC(7), 0.16, 0.16,   280.75,
208,1264,B,  1,H,    1, 1.50, 1.50,     0.00,
208,1264,B,  1,H,    2, 1.50, 1.50,     1.50,
208,1264,B,  1,H,    3, 1.50, 1.50,     3.00,
208,1264,B,  1,H,    4, 1.50, 1.50,     4.50,
208,1264,B,  1,H,    5, 1.26, 1.26,     6.00,
208,1264,B,  1,H,CC(5), 0.12, 0.12,     7.26,
208,1264,B,  2,H,    1, 1.50, 1.50,     7.30,
208,1264,B,  2,H,    2, 1.50, 1.50,     8.80,
208,1264,B,  2,H,    3, 1.50, 1.50,    10.30,
208,1264,B,  2,H,    4, 1.50, 1.50,    11.80,
208,1264,B,  2,H,    5, 1.50, 1.50,    13.30,
208,1264,B,  2,H,    6, 1.50, 1.50,    14.80,
208,1264,B,  2,H,    7, 0.78, 0.78,    16.30,
208,1264,B,  2,H,CC(N), 0.10, 0.10,    17.08,"All to PAL."
208,1264,B,  3,H,    1, 1.50, 1.50,    16.80,
208,1264,B,  3,H,    2, 1.50, 1.50,    18.30,
208,1264,B,  3,H,    3, 1.50, 1.50,    19.80,
208,1264,B,  3,H,    4, 1.48, 1.48,    21.30,
208,1264,B,  3,H,    5, 1.50, 1.50,    22.78,
208,1264,B,  3,H,    6, 1.50, 1.50,    24.28,
208,1264,B,  3,H,    7, 0.80, 0.80,    25.78,
208,1264,B,  3,H,CC(7), 0.14, 0.14,    26.58,
208,1264,B,  4,H,    1, 1.50, 1.50,    26.30,
208,1264,B,  4,H,    2, 1.50, 1.50,    27.80,
208,1264,B,  4,H,    3, 1.50, 1.50,    29.30,
208,1264,B,  4,H,    4, 1.50, 1.50,    30.80,
208,1264,B,  4,H,    5, 1.50, 1.50,    32.30,
208,1264,B,  4,H,    6, 1.50, 1.50,    33.80,
208,1264,B,  4,H,    7, 0.65, 0.65,    35.30,
208,1264,B,  4,H,CC(7), 0.16, 0.16,    35.95,
208,1264,B,  5,H,    1, 1.50, 1.50,    35.80,
208,1264,B,  5,H,    2, 1.50, 1.50,    37.30,
208,1264,B,  5,H,    3, 1.50, 1.50,    38.80,
208,1264,B,  5,H,    4, 1.50, 1.50,    40.30,
208,1264,B,  5,H,    5, 1.50, 1.50,    41.80,
208,1264,B,  5,H,    6, 1.50, 1.50,    43.30,
208,1264,B,  5,H,    7, 0.64, 0.64,    44.80,
208,1264,B,  5,H,CC(7), 0.10, 0.10,    45.44,"All to PAL."
208,1264,B,  6,H,    1, 1.50, 1.50,    45.30,
