XDIS-ASCII-Export of ASP.webview_sections_view_aspx, created on 11/16/2017 1:20:38 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION_LABEL	INIT_LENGTH	REV_LENGTH	TOP_DEPTH	BOTTOM_DEPTH	MCD_TOP	ANALYST	IGSN	REMARKS	CC	
208	1264	B	20	H	3	1.5	1.5	181.3	182.8	202.71	na	&nbsp;	                                             	no	
208	1264	B	20	H	4	1.5	1.5	182.8	184.3	204.21	na	&nbsp;	                                             	no	
208	1264	B	20	H	5	1.5	1.5	184.3	185.8	205.71	na	&nbsp;	                                             	no	
208	1264	B	20	H	6	1	1	185.8	186.8	207.21	na	&nbsp;	                                             	no	
208	1264	B	20	H	7	0.59	0.59	186.8	187.39	208.21	na	&nbsp;	                                             	no	
208	1264	B	20	H	CC	0.22	0.22	187.39	187.61	208.8	na	&nbsp;	                                             	yes	
208	1264	B	21	H	1	1.5	1.5	187.8	189.3	209.82	na	&nbsp;	                                             	no	
208	1264	B	21	H	2	1.5	1.5	189.3	190.8	211.32	na	&nbsp;	                                             	no	
208	1264	B	21	H	3	1.5	1.5	190.8	192.3	212.82	na	&nbsp;	                                             	no	
208	1264	B	21	H	4	1.5	1.5	192.3	193.8	214.32	na	&nbsp;	                                             	no	
208	1264	B	21	H	5	1.5	1.5	193.8	195.3	215.82	na	&nbsp;	                                             	no	
208	1264	B	21	H	6	1.5	1.5	195.3	196.8	217.32	na	&nbsp;	                                             	no	
208	1264	B	21	H	7	0.68	0.68	196.8	197.48	218.82	na	&nbsp;	                                             	no	
208	1264	B	21	H	CC	0.18	0.18	197.48	197.66	219.5	na	&nbsp;	                                             	yes	
208	1264	B	22	H	1	1.5	1.5	197.3	198.8	220.07	na	&nbsp;	                                             	no	
208	1264	B	22	H	2	1.5	1.5	198.8	200.3	221.57	na	&nbsp;	                                             	no	
208	1264	B	22	H	3	1.5	1.5	200.3	201.8	223.07	na	&nbsp;	                                             	no	
208	1264	B	22	H	4	1.5	1.5	201.8	203.3	224.57	na	&nbsp;	                                             	no	
208	1264	B	22	H	5	1.5	1.5	203.3	204.8	226.07	na	&nbsp;	                                             	no	
208	1264	B	22	H	6	1.5	1.5	204.8	206.3	227.57	na	&nbsp;	                                             	no	
208	1264	B	22	H	7	0.71	0.71	206.3	207.01	229.07	na	&nbsp;	                                             	no	
208	1264	B	22	H	CC	0.22	0.22	207.01	207.23	229.78	na	&nbsp;	                                             	yes	
208	1264	B	23	H	1	1.5	1.5	206.8	208.3	230.57	na	&nbsp;	                                             	no	
208	1264	B	23	H	2	1.5	1.5	208.3	209.8	232.07	na	&nbsp;	                                             	no	
208	1264	B	23	H	3	1.5	1.5	209.8	211.3	233.57	na	&nbsp;	                                             	no	
208	1264	B	23	H	4	1.5	1.5	211.3	212.8	235.07	na	&nbsp;	                                             	no	
208	1264	B	23	H	5	1.5	1.5	212.8	214.3	236.57	na	&nbsp;	                                             	no	
208	1264	B	23	H	6	1.5	1.5	214.3	215.8	238.07	na	&nbsp;	                                             	no	
208	1264	B	23	H	7	0.53	0.53	215.8	216.33	239.57	na	&nbsp;	                                             	no	
208	1264	B	23	H	CC	0.1	0.1	216.33	216.43	240.1	na	&nbsp;	                                             	yes	
208	1264	B	24	H	1	1.5	1.5	216.3	217.8	240.77	na	&nbsp;	                                             	no	
208	1264	B	24	H	2	1.5	1.5	217.8	219.3	242.27	na	&nbsp;	                                             	no	
208	1264	B	24	H	3	1.5	1.5	219.3	220.8	243.77	na	&nbsp;	                                             	no	
208	1264	B	24	H	4	1.5	1.5	220.8	222.3	245.27	na	&nbsp;	                                             	no	
208	1264	B	24	H	5	1.5	1.5	222.3	223.8	246.77	na	&nbsp;	                                             	no	
208	1264	B	24	H	6	1.5	1.5	223.8	225.3	248.27	na	&nbsp;	                                             	no	
208	1264	B	24	H	7	0.88	0.88	225.3	226.18	249.77	na	&nbsp;	                                             	no	
208	1264	B	24	H	CC	0.15	0.15	226.18	226.33	250.65	na	&nbsp;	                                             	yes	
208	1264	B	25	H	1	1.5	1.5	225.8	227.3	252.28	na	&nbsp;	                                             	no	
208	1264	B	25	H	2	1.5	1.5	227.3	228.8	253.78	na	&nbsp;	                                             	no	
208	1264	B	25	H	3	1.5	1.5	228.8	230.3	255.28	na	&nbsp;	                                             	no	
208	1264	B	25	H	4	1.5	1.5	230.3	231.8	256.78	na	&nbsp;	                                             	no	
208	1264	B	25	H	5	1.5	1.5	231.8	233.3	258.28	na	&nbsp;	                                             	no	
208	1264	B	25	H	6	1.5	1.5	233.3	234.8	259.78	na	&nbsp;	                                             	no	
208	1264	B	25	H	7	0.71	0.71	234.8	235.51	261.28	na	&nbsp;	                                             	no	
208	1264	B	25	H	CC	0.13	0.13	235.51	235.64	261.99	na	&nbsp;	                                             	yes	
208	1264	B	26	H	1	1.5	1.5	235.3	236.8	263.35	na	&nbsp;	                                             	no	
208	1264	B	26	H	2	1.5	1.5	236.8	238.3	264.85	na	&nbsp;	                                             	no	
208	1264	B	26	H	3	1.5	1.5	238.3	239.8	266.35	na	&nbsp;	                                             	no	
208	1264	B	26	H	4	1.5	1.5	239.8	241.3	267.85	na	&nbsp;	                                             	no	
208	1264	B	26	H	5	1.5	1.5	241.3	242.8	269.35	na	&nbsp;	                                             	no	
208	1264	B	26	H	6	1.5	1.5	242.8	244.3	270.85	na	&nbsp;	                                             	no	
208	1264	B	26	H	7	0.59	0.59	244.3	244.89	272.35	na	&nbsp;	                                             	no	
208	1264	B	26	H	CC	0.42	0.42	244.89	245.31	272.94	na	&nbsp;	                                             	yes	
208	1264	B	27	H	1	1.5	1.5	244.8	246.3	274.13	na	&nbsp;	                                             	no	
208	1264	B	27	H	2	1.5	1.5	246.3	247.8	275.63	na	&nbsp;	                                             	no	
208	1264	B	27	H	3	1.5	1.5	247.8	249.3	277.13	na	&nbsp;	                                             	no	
208	1264	B	27	H	4	1.5	1.5	249.3	250.8	278.63	na	&nbsp;	                                             	no	
208	1264	B	27	H	5	1.5	1.5	250.8	252.3	280.13	na	&nbsp;	                                             	no	
208	1264	B	27	H	6	1.5	1.5	252.3	253.8	281.63	na	&nbsp;	                                             	no	
208	1264	B	27	H	7	0.78	0.78	253.8	254.58	283.13	na	&nbsp;	                                             	no	
208	1264	B	27	H	CC	0.12	0.12	254.58	254.7	283.91	na	&nbsp;	                                             	yes	
208	1264	B	28	H	1	1.5	1.5	254.3	255.8	285.22	na	&nbsp;	                                             	no	
208	1264	B	28	H	2	1.5	1.5	255.8	257.3	286.72	na	&nbsp;	                                             	no	
208	1264	B	28	H	3	1.5	1.5	257.3	258.8	288.22	na	&nbsp;	                                             	no	
208	1264	B	28	H	4	1.5	1.5	258.8	260.3	289.72	na	&nbsp;	                                             	no	
208	1264	B	28	H	5	1.5	1.5	260.3	261.8	291.22	na	&nbsp;	                                             	no	
208	1264	B	28	H	6	1	1	261.8	262.8	292.72	na	&nbsp;	                                             	no	
208	1264	B	28	H	7	0.58	0.58	262.8	263.38	293.72	na	&nbsp;	                                             	no	
208	1264	B	28	H	CC	0.17	0.17	263.38	263.55	294.3	na	&nbsp;	                                             	yes	
208	1264	B	29	H	1	1.5	1.5	263.8	265.3	295.35	na	&nbsp;	                                             	no	
208	1264	B	29	H	2	1.5	1.5	265.3	266.8	296.85	na	&nbsp;	                                             	no	
208	1264	B	29	H	3	1.5	1.5	266.8	268.3	298.35	na	&nbsp;	                                             	no	
208	1264	B	29	H	4	1.5	1.5	268.3	269.8	299.85	na	&nbsp;	                                             	no	
208	1264	B	29	H	5	1.5	1.5	269.8	271.3	301.35	na	&nbsp;	                                             	no	
208	1264	B	29	H	6	1.5	1.5	271.3	272.8	302.85	na	&nbsp;	                                             	no	
208	1264	B	29	H	7	0.62	0.62	272.8	273.42	304.35	na	&nbsp;	0/0                                          	no	
208	1264	B	29	H	CC	0.1	0.1	273.42	273.52	304.97	na	&nbsp;	                                             	yes	
208	1264	B	30	H	1	1.5	1.5	273.3	274.8	306.27	na	&nbsp;	                                             	no	
208	1264	B	30	H	2	1.5	1.5	274.8	276.3	307.77	na	&nbsp;	                                             	no	
208	1264	B	30	H	3	1.5	1.5	276.3	277.8	309.27	na	&nbsp;	                                             	no	
208	1264	B	30	H	4	1.5	1.5	277.8	279.3	310.77	na	&nbsp;	                                             	no	
208	1264	B	30	H	5	1.5	1.5	279.3	280.8	312.27	na	&nbsp;	                                             	no	
208	1264	B	30	H	6	1.5	1.5	280.8	282.3	313.77	na	&nbsp;	                                             	no	
