XDIS-ASCII-Export of ASP.webview_cores_view_aspx, created on 11/15/2017 11:08:26 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	TOP_DEPTH	DRILLED_LENGTH	BOTTOM_DEPTH	MCD_OFFSET	CORE_RECOVERY	CORE_RECOVERY_PC	CORE_ONDECK	ORIENTED	LAST_SECTION	CORE_CATCHER	ANALYST	IGSN	REMARKS	
105	647	A	49	R	462.8	9.7	472.5	0	9.55	98.45	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	50	R	472.5	9.6	482.1	0	9.2	95.83	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	51	R	482.1	9.7	491.8	0	8.9	91.75	10/19/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	52	R	491.8	9.6	501.4	0	9.52	99.17	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	53	R	501.4	9.7	511.1	0	9.67	99.69	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	54	R	511.1	9.6	520.7	0	8.05	83.85	10/19/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	55	R	520.7	9.6	530.3	0	9.7	101.04	10/20/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	56	R	530.3	9.7	540	0	0.16	1.65	10/20/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	57	R	540	9.7	549.7	0	0	0	10/20/1985 12:00:00 AM	&nbsp;	99	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	58	R	549.7	9.7	559.4	0	0.16	1.65	10/20/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	59	R	559.4	9.7	569.1	0	0.45	4.64	10/20/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	60	R	569.1	9.7	578.8	0	9.66	99.59	10/20/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	61	R	578.8	9.6	588.4	0	0.63	6.56	10/20/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	62	R	598.1	9.7	607.8	0	8.12	83.71	10/20/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
